0,"Ali, Mr. Ahmed"
1,"Ali, Mr. William"
2,"Allen, Mr. William Henry"
3,"Allum, Mr. Owen George"
4,"Andersen-Jensen, Miss. Carla Christine Nielsine"
5,"Andersen, Mr. Albert Karvin"
6,"Baxter, Mr. Quigg Edmond"
7,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)"
8,"Becker, Master. Richard F"
9,"Becker, Miss. Marion Louise"
10,"Becker, Miss. Ruth Elizabeth"
11,"Becker, Mrs. Allen Oliver (Nellie E Baumgardner)"
12,"Beesley, Mr. Lawrence"
13,"Bentham, Miss. Lilian W"
14,"Berriman, Mr. William John"
15,"Botsford, Mr. William Hull"
16,"Bowenur, Mr. Solomon"
17,"Bracken, Mr. James H"
18,"Dean, Master. Bertram Vere"
19,"Dodge, Dr. Washington"
20,"Dodge, Master. Washington"
21,"Dodge, Mrs. Washington (Ruth Vidaver)"
22,"Everett, Mr. Thomas James"
23,"Fortune, Miss. Alice Elizabeth"
24,"Fortune, Miss. Ethel Flora"
25,"Fortune, Miss. Mabel Helen"
26,"Fortune, Mr. Charles Alexander"
27,"Fortune, Mr. Mark"
28,"Fortune, Mrs. Mark (Mary McDougald)"
29,"Hickman, Mr. Leonard Mark"
30,"Hickman, Mr. Lewis"
31,"Hickman, Mr. Stanley George"
32,"Hiltunen, Miss. Marta"
33,"Hocking, Miss. Ellen ""Nellie"""
34,"Hocking, Mr. Richard George"
35,"Hocking, Mr. Samuel James Metcalfe"
36,"Hocking, Mrs. Elizabeth (Eliza Needs)"
37,"Mallet, Master. Andre"
38,"Mallet, Mr. Albert"
39,"Mallet, Mrs. Albert (Antoinette Magnin)"
40,"Wright, Mr. George"
41,"Young, Miss. Marie Grice"
42,"Allen, Miss. Elisabeth Walton"
43,"Allison, Master. Hudson Trevor"
44,"Allison, Miss. Helen Loraine"
45,"Allison, Mr. Hudson Joshua Creighton"
46,"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)"
47,"Anderson, Mr. Harry"
48,"Andrews, Miss. Kornelia Theodosia"
49,"Andrews, Mr. Thomas Jr"
50,"Appleton, Mrs. Edward Dale (Charlotte Lamson)"
51,"Artagaveytia, Mr. Ramon"
52,"Astor, Col. John Jacob"
53,"Astor, Mrs. John Jacob (Madeleine Talmadge Force)"
54,"Aubart, Mme. Leontine Pauline"
55,"Barber, Miss. Ellen ""Nellie"""
56,"Barkworth, Mr. Algernon Henry Wilson"
58,"Bazzani, Miss. Albina"
59,"Beattie, Mr. Thomson"
60,"Beckwith, Mr. Richard Leonard"
61,"Beckwith, Mrs. Richard Leonard (Sallie Monypeny)"
62,"Behr, Mr. Karl Howell"
63,"Bidois, Miss. Rosalie"
64,"Bird, Miss. Ellen"
65,"Birnbaum, Mr. Jakob"
66,"Bishop, Mr. Dickinson H"
67,"Bishop, Mrs. Dickinson H (Helen Walton)"
68,"Bissette, Miss. Amelia"
69,"Bjornstrom-Steffansson, Mr. Mauritz Hakan"
70,"Blackwell, Mr. Stephen Weart"
71,"Blank, Mr. Henry"
72,"Bonnell, Miss. Caroline"
73,"Bonnell, Miss. Elizabeth"
74,"Borebank, Mr. John James"
75,"Bowen, Miss. Grace Scott"
76,"Bowerman, Miss. Elsie Edith"
78,"Brady, Mr. John Bertram"
79,"Brandeis, Mr. Emil"
81,"Brown, Mrs. James Joseph (Margaret Tobin)"
82,"Brown, Mrs. John Murray (Caroline Lane Lamson)"
83,"Bucknell, Mrs. William Robert (Emma Eliza Ward)"
84,"Burns, Miss. Elizabeth Margaret"
85,"Butt, Major. Archibald Willingham"
87,"Calderhead, Mr. Edward Pennington"
88,"Candee, Mrs. Edward (Helen Churchill Hungerford)"
89,"Cardeza, Mr. Thomas Drake Martinez"
90,"Cardeza, Mrs. James Warburton Martinez (Charlotte Wardle Drake)"
91,"Carlsson, Mr. Frans Olof"
92,"Carrau, Mr. Francisco M"
93,"Carrau, Mr. Jose Pedro"
94,"Carter, Master. William Thornton II"
95,"Carter, Miss. Lucile Polk"
96,"Carter, Mr. William Ernest"
97,"Carter, Mrs. William Ernest (Lucile Polk)"
98,"Case, Mr. Howard Brown"
100,"Cavendish, Mr. Tyrell William"
101,"Cavendish, Mrs. Tyrell William (Julia Florence Siegel)"
102,"Chaffee, Mr. Herbert Fuller"
103,"Chaffee, Mrs. Herbert Fuller (Carrie Constance Toogood)"
104,"Chambers, Mr. Norman Campbell"
105,"Chambers, Mrs. Norman Campbell (Bertha Griggs)"
106,"Chaudanson, Miss. Victorine"
107,"Cherry, Miss. Gladys"
108,"Chevre, Mr. Paul Romaine"
111,"Clark, Mr. Walter Miller"
112,"Clark, Mrs. Walter Miller (Virginia McDowell)"
113,"Cleaver, Miss. Alice"
115,"Colley, Mr. Edward Pomeroy"
116,"Compton, Miss. Sara Rebecca"
117,"Compton, Mr. Alexander Taylor Jr"
118,"Compton, Mrs. Alexander Taylor (Mary Eliza Ingersoll)"
119,"Cornell, Mrs. Robert Clifford (Malvina Helen Lamson)"
121,"Crosby, Capt. Edward Gifford"
122,"Crosby, Miss. Harriet R"
123,"Crosby, Mrs. Edward Gifford (Catherine Elizabeth Halstead)"
124,"Cumings, Mr. John Bradley"
125,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)"
126,"Daly, Mr. Peter Denis "
127,"Daniel, Mr. Robert Williams"
128,"Daniels, Miss. Sarah"
129,"Davidson, Mr. Thornton"
130,"Davidson, Mrs. Thornton (Orian Hays)"
131,"Dick, Mr. Albert Adrian"
132,"Dick, Mrs. Albert Adrian (Vera Gillespie)"
133,"Douglas, Mr. Walter Donald"
134,"Douglas, Mrs. Frederick Charles (Mary Helene Baxter)"
135,"Douglas, Mrs. Walter Donald (Mahala Dutton)"
136,"Duff Gordon, Lady. (Lucille Christiana Sutherland) (""Mrs Morgan"")"
137,"Duff Gordon, Sir. Cosmo Edmund (""Mr Morgan"")"
138,"Dulles, Mr. William Crothers"
139,"Earnshaw, Mrs. Boulton (Olive Potter)"
140,"Endres, Miss. Caroline Louise"
141,"Eustis, Miss. Elizabeth Mussey"
142,"Evans, Miss. Edith Corse"
146,"Flynn, Mr. John Irwin (""Irving"")"
147,"Foreman, Mr. Benjamin Laventall"
148,"Francatelli, Miss. Laura Mabel"
150,"Frauenthal, Dr. Henry William"
151,"Frauenthal, Mr. Isaac Gerald"
153,"Frolicher, Miss. Hedwig Margaritha"
154,"Frolicher-Stehli, Mr. Maxmillian"
155,"Frolicher-Stehli, Mrs. Maxmillian (Margaretha Emerentia Stehli)"
157,"Futrelle, Mr. Jacques Heath"
158,"Futrelle, Mrs. Jacques Heath (Lily May Peel)"
159,"Gee, Mr. Arthur H"
160,"Geiger, Miss. Amalie"
161,"Gibson, Miss. Dorothy Winifred"
162,"Gibson, Mrs. Leonard (Pauline C Boeson)"
163,"Giglio, Mr. Victor"
164,"Goldenberg, Mr. Samuel L"
166,"Goldschmidt, Mr. George B"
167,"Gracie, Col. Archibald IV"
168,"Graham, Miss. Margaret Edith"
169,"Graham, Mr. George Edward"
170,"Graham, Mrs. William Thompson (Edith Junkins)"
171,"Greenfield, Mr. William Bertram"
172,"Greenfield, Mrs. Leo David (Blanche Strouse)"
173,"Guggenheim, Mr. Benjamin"
174,"Harder, Mr. George Achilles"
175,"Harder, Mrs. George Achilles (Dorothy Annan)"
176,"Harper, Mr. Henry Sleeper"
177,"Harper, Mrs. Henry Sleeper (Myna Haxtun)"
179,"Harris, Mr. Henry Birkhardt"
180,"Harris, Mrs. Henry Birkhardt (Irene Wallach)"
181,"Harrison, Mr. William"
182,"Hassab, Mr. Hammad"
184,"Hays, Miss. Margaret Bechstein"
185,"Hays, Mr. Charles Melville"
186,"Hays, Mrs. Charles Melville (Clara Jennings Gregg)"
187,"Head, Mr. Christopher"
189,"Hipkins, Mr. William Edward"
190,"Hippach, Miss. Jean Gertrude"
191,"Hippach, Mrs. Louis Albert (Ida Sophia Fischer)"
192,"Hogeboom, Mrs. John C (Anna Andrews)"
193,"Holverson, Mr. Alexander Oskar"
194,"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)"
195,"Homer, Mr. Harry (""Mr E Haven"")"
196,"Hoyt, Mr. Frederick Maxfield"
198,"Hoyt, Mrs. Frederick Maxfield (Jane Anne Forby)"
200,"Isham, Miss. Ann Elizabeth"
201,"Ismay, Mr. Joseph Bruce"
202,"Jones, Mr. Charles Cresson"
203,"Julian, Mr. Henry Forbes"
204,"Keeping, Mr. Edwin"
205,"Kent, Mr. Edward Austin"
206,"Kenyon, Mr. Frederick R"
208,"Kimball, Mr. Edwin Nelson Jr"
209,"Kimball, Mrs. Edwin Nelson Jr (Gertrude Parsons)"
211,"Kreuchen, Miss. Emilie"
212,"Leader, Dr. Alice (Farnham)"
213,"LeRoy, Miss. Bertha"
214,"Lesurer, Mr. Gustave J"
216,"Lindeberg-Lind, Mr. Erik Gustaf (""Mr Edward Lingrey"")"
217,"Lindstrom, Mrs. Carl Johan (Sigrid Posse)"
218,"Lines, Miss. Mary Conover"
219,"Lines, Mrs. Ernest H (Elizabeth Lindsey James)"
220,"Long, Mr. Milton Clyde"
221,"Longley, Miss. Gretchen Fiske"
222,"Loring, Mr. Joseph Holland"
223,"Lurette, Miss. Elise"
224,"Madill, Miss. Georgette Alexandra"
225,"Maguire, Mr. John Edward"
226,"Maioni, Miss. Roberta"
228,"Marvin, Mr. Daniel Warner"
229,"Marvin, Mrs. Daniel Warner (Mary Graham Carmichael Farquarson)"
230,"Mayne, Mlle. Berthe Antonine (""Mrs de Villiers"")"
231,"McCaffry, Mr. Thomas Francis"
232,"McCarthy, Mr. Timothy J"
233,"McGough, Mr. James Robert"
234,"Meyer, Mr. Edgar Joseph"
236,"Millet, Mr. Francis Davis"
237,"Minahan, Dr. William Edward"
238,"Minahan, Miss. Daisy E"
239,"Minahan, Mrs. William Edward (Lillian E Thorpe)"
240,"Mock, Mr. Philipp Edmund"
241,"Molson, Mr. Harry Markland"
242,"Moore, Mr. Clarence Bloomfield"
243,"Natsch, Mr. Charles H"
244,"Newell, Miss. Madeleine"
245,"Newell, Miss. Marjorie"
246,"Newell, Mr. Arthur Webster"
247,"Newsom, Miss. Helen Monypeny"
248,"Nicholson, Mr. Arthur Ernest"
249,"Oliva y Ocana, Dona. Fermina"
251,"Ostby, Miss. Helene Ragnhild"
252,"Ostby, Mr. Engelhart Cornelius"
253,"Ovies y Rodriguez, Mr. Servando"
255,"Partner, Mr. Austen"
256,"Payne, Mr. Vivian Ponsonby"
257,"Pears, Mr. Thomas Clinton"
258,"Pears, Mrs. Thomas (Edith Wearne)"
259,"Penasco y Castellana, Mr. Victor de Satode"
260,"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)"
261,"Perreault, Miss. Anne"
262,"Peuchen, Major. Arthur Godfrey"
